id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,1,1,Indiana-Hyde Park,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=158,,
2,2,2,Hyde Park Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=159,,
3,3,3,King Drive,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=160,,
4,4,4,Cottage Grove,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=162,,
5,5,5,South Shore Night Bus,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=164,,
6,6,6,Jackson Park Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=165,,
7,7,7,Harrison,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=166,,
8,8,8,Halsted,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=167,,
9,8A,8A,South Halsted,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=168,,
10,9,9,Ashland,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=169,,
11,10,10,Museum of S & I,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=171,,
12,11,11,Lincoln/Sedgwick,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=172,,
13,12,12,Roosevelt,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=173,,
14,14,14,Jeffery Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=174,,
15,15,15,Jeffery Local,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=175,,
16,17,17,Westchester,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=176,,
17,18,18,16th-18th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=177,,
18,20,20,Madison,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=178,,
19,21,21,Cermak,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=180,,
20,22,22,Clark,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=181,,
21,24,24,Wentworth,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=182,,
22,26,26,South Shore Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=183,,
23,28,28,Stony Island Local,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=184,,
24,X28,X28,Stony Island Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=185,,
25,29,29,State,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=186,,
26,30,30,South Chicago,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=187,,
27,33,33,Mag Mile Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=188,,
28,34,34,South Michigan,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=189,,
29,35,35,35th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=190,,
